key;text;Brand;Price;Shipping;Gain;Type;timestamp
1;ALCATEL FLINT;ALCATEL;64;4;90,00;MOBILE;AUTO
2;ALCATEL CAMEOX ;ALCATEL;53;4;75,00;MOBILE;AUTO;MORE
3;ALCATEL PIXI;ALCATEL;83;3;125,00;MOBILE;AUTO;MORE
4;ALCATEL FIERCE;ALCATEL;60;3;80,00;MOBILE
5;ALCATEL FIERCE XL;ALCATEL;67;3;90,00;MOBILE;AUTO
6;ALCATEL IDEAL;ALCATEL;36;3;50,00;MOBILE;AUTO
7;ALCATEL IDEALXCITE 5.0;ALCATEL;46;4;65,00;MOBILE
8;ALCATEL ALLURA;ALCATEL;69;5;90,00;MOBILE;AUTO
9;ALCATEL TETRA;ALCATEL;54;4;70,00;MOBILE;AUTO
10;ALCATEL PULSE BLISTER;ALCATEL;73;4;95,00;MOBILE;AUTO
11;ALCATEL A30 PLUS;ALCATEL;100;3;135,00;MOBILE;AUTO
12;ALCATEL A50;ALCATEL;118;4;140,00;MOBILE;AUTO
13;Iphone 4S 8Gb;IPHONE;74,04771429;0;0,00;MOBILE;AUTO
14;Iphone 5S 16Gb;IPHONE;190;0;265,00;MOBILE;AUTO
15;Iphone 5S 32Gb;IPHONE;240;0;330,00;MOBILE;AUTO
16;Iphone 6 16Gb;IPHONE;275;4;290,00;MOBILE;AUTO
17;Iphone 6 64Gb;IPHONE;335;0;455,00;MOBILE;AUTO
18;Iphone 6 128Gb;IPHONE;370;0;0,00;MOBILE;AUTO
19;Iphone 6 Plus 64Gb;IPHONE;0;0;0,00;MOBILE;AUTO
20;Iphone 6 Plus 128Gb;IPHONE;0;0;0,00;MOBILE;AUTO
21;Iphone 6S 16Gb;IPHONE;315;0;430,00;MOBILE;AUTO
22;Iphone 6S 64Gb;IPHONE;385;4;430,00;MOBILE;AUTO
23;Iphone 6S 128Gb;IPHONE;640;0;870,00;MOBILE;AUTO
24;Iphone 6S Plus 16Gb;IPHONE;440;0;600,00;MOBILE;AUTO
25;Iphone 6S Plus 64Gb;IPHONE;505;3;610,00;MOBILE;AUTO
26;Iphone 6S Plus 128Gb;IPHONE;760;3;0,00;MOBILE;AUTO
27;Iphone 6s Plus 16Gb;IPHONE;395;3;520,00;MOBILE;AUTO
28;Iphone 7 32Gb;IPHONE;490;4;570,00;MOBILE;AUTO
29;Iphone 7 32Gb;IPHONE;590;3;715,00;MOBILE;AUTO
30;Iphone 7 128Gb;IPHONE;694;4;805,00;MOBILE;AUTO
31;Iphone 7 256Gb;IPHONE;790;3;0,00;MOBILE;AUTO
32;Iphone 7 plus 32Gb;IPHONE;695;4;815,00;MOBILE;AUTO
33;Iphone 7 Plus 128Gb;IPHONE;795;3;0,00;MOBILE;AUTO
34;Iphone 7 Plus 128Gb Jet Black;IPHONE;800;3;0,00;MOBILE;AUTO
35;Iphone 7 Plus 256Gb;IPHONE;970;3;0,00;MOBILE;AUTO
36;Iphone 8 64Gb;IPHONE;745;4;900,00;MOBILE;AUTO
37;Iphone 8 256Gb;IPHONE;860;4;1040,00;MOBILE;AUTO
38;Iphone 8 plus 64Gb;IPHONE;850;4;1025,00;MOBILE;AUTO
39;Iphone 8 plus 256Gb;IPHONE;990;4;1150,00;MOBILE;AUTO
